site,treatment,totalArea_2014,totalArea_2016,gravelArea_2014,gravelArea_2016,sandArea_2014,sandArea_2016,reedArea_2014,reedArea_2016,tallherbalvegetationArea_2014,tallherbalvegetationArea_2016
Rottmuendung,Gravel/Removal_of_embankment,2466.5,2466.5,0,0,2466.5,2357.9,0,0,0,108.6
Attler Au,Removal_of_embankment,279.4,279.4,0,0,279.4,0,0,279.4,0,0
Attler Au,Gravel_addition,2002.8,2485.5,2002.8,0,0,0,0,2485.5,0,0
Laimbachmüdung,Gravel_addition,852.8,2312.8,852.8,29.9,0,0,0,2282.9,0,0
Freihamer Au,Sand_addition,517.3,812.7,0,0,517.3,0,0,812.7,0,0
Vorderleiten,Sand_addition,1625.7,1120.8,0,0,1625.7,0,0,1120.8,0,0
Wies,Sand_addition,2245.6,3963.5,0,0,2245.6,0,0,3963.5,0,0
Hechtloch,Removal_of_embankment,87.9,76.2,0,0,87.9,0,0,0,0,0
